5.00,1000,ATTACKPASS
13.00,2000,THROWIN
19.00,2000,ATTACKPASS
22.00,1000,ATTACKPASS
24.00,2000,SHOOT
33.00,1000,THROWIN
80.00,2000,SHOOT
95.00,2000,SHOOT
100.00,3000,CORNER
110.00,2000,ATTACKPASS
128.00,2000,CORNER
144.00,1000,ATTACKPASS
